a_timestamp,a_name,edits_live_pre,edits_deleted_pre,edits_total_pre,edits_live_post,edits_deleted_post,edits_total_post
20130102232213,Maunus,0.0,0.0,0.0,46.0,0.0,46.0
20130105041215,Metamagician3000,0.0,0.0,0.0,36.0,0.0,36.0
20130106012828,Ocaasi,0.0,0.0,0.0,56.0,0.0,56.0
20130114222838,Salvidrim!,0.0,0.0,0.0,215.0,71.0,286.0
20130116000009,Nabla,0.0,0.0,0.0,201.0,14.0,215.0
20130127201509,Lord Roem,0.0,0.0,0.0,286.0,9.0,295.0
20130201042136,Jason Quinn,0.0,0.0,0.0,925.0,2.0,927.0
20130212213130,Miniapolis,0.0,0.0,0.0,3592.0,19.0,3611.0
20130311225818,Ched,0.0,0.0,0.0,813.0,0.0,813.0
20130312115151,ZimZalaBim,0.0,0.0,0.0,6064.0,120.0,6184.0
20130313122423,Shirt58,0.0,0.0,0.0,1668.0,774.0,2442.0
20130316011201,Lar,0.0,0.0,0.0,49.0,0.0,49.0
20130316174635,RockMagnetist,0.0,0.0,0.0,40.0,0.0,40.0
20130318105052,ReaderofthePack,0.0,0.0,0.0,2383.0,131.0,2514.0
20130322072530,Ymblanter,0.0,0.0,0.0,22281.0,223.0,22504.0
20130328205615,Boing! said Zebedee,0.0,0.0,0.0,535.0,4.0,539.0
20130331033752,Nthep,0.0,0.0,0.0,7932.0,755.0,8687.0
20130417144259,Satori Son,0.0,0.0,0.0,27.0,0.0,27.0
20130423230855,Pedro,0.0,0.0,0.0,59.0,0.0,59.0
20130427000934,BDD,0.0,0.0,0.0,813.0,0.0,813.0
20130508120822,Paulmcdonald,0.0,0.0,0.0,685.0,60.0,745.0
20130509104142,Legoktm,0.0,0.0,0.0,1795.0,50.0,1845.0
20130515173731,Mkdw,0.0,0.0,0.0,338.0,2.0,340.0
20130531155316,Meno25,0.0,0.0,0.0,6783.0,35.0,6818.0
20130601132736,Bilby,0.0,0.0,0.0,1170.0,39.0,1209.0
20130605212059,Mattythewhite,0.0,0.0,0.0,19974.0,34.0,20008.0
20130710040442,Kelapstick,0.0,0.0,0.0,13.0,0.0,13.0
20130719171158,Huon,0.0,0.0,0.0,11.0,0.0,11.0
20130731125734,Awilley,0.0,0.0,0.0,167.0,0.0,167.0
20130805223536,Drmies,0.0,0.0,0.0,23893.0,655.0,24548.0
20130902193142,Singularity42,0.0,0.0,0.0,2232.0,1149.0,3381.0
20130910094444,The Interior,0.0,0.0,0.0,54.0,0.0,54.0
20130917142341,Trappist the monk,0.0,0.0,0.0,45427.0,230.0,45657.0
20131029232745,Cerebellum,0.0,0.0,0.0,2249.0,96.0,2345.0
20131029234043,El C,0.0,0.0,0.0,9584.0,60.0,9644.0
20131201231505,Writ Keeper,0.0,0.0,0.0,836.0,42.0,878.0
20131203024237,Callanecc,0.0,0.0,0.0,1302.0,4.0,1306.0
20131208051354,Trevj,0.0,0.0,0.0,2.0,0.0,2.0
20131211015151,Gerald Farinas,0.0,0.0,0.0,9.0,0.0,9.0
20131217061358,Guerillero,0.0,0.0,0.0,2929.0,89.0,3018.0
20131221013722,Ameliorate!,0.0,0.0,0.0,206.0,2.0,208.0
20131228222433,Acather96,0.0,0.0,0.0,3.0,0.0,3.0
